model,accuracy,precision,recall,f1,roc_auc,true_negatives,false_positives,false_negatives,true_positives
logistic_regression,0.4995978767894483,0.2708585247883918,0.9210526315789473,0.4186133433003177,0.6811452676569949,1986,3015,96,1120
random_forest,0.8492842206852179,0.6424923391215526,0.5172697368421053,0.5731207289293849,0.8712445833201781,4651,350,587,629
naive_bayes,0.3305452790735081,0.21814006888633755,0.9375,0.3539273517541136,0.6337463592807755,915,4086,76,1140
hist_gradient_boosting,0.7722374135435097,0.4523809523809524,0.78125,0.5729794933655006,0.8629294700270471,3851,1150,266,950
