model,accuracy,precision,recall,f1,roc_auc,true_negatives,false_positives,false_negatives,true_positives
logistic_regression,0.9715521442495126,0.9668126296381655,0.9791107480452795,0.9729228271583463,0.9947029892189346,7559,288,179,8390
random_forest,0.9578460038986355,0.9397119571285029,0.9822616407982262,0.9605158050895812,0.9917202306338864,7307,540,152,8417
naive_bayes,0.8806652046783626,0.860178727114211,0.9211109814447427,0.8896027049873204,0.9429744463875231,6564,1283,676,7893
xgboost,0.977156432748538,0.9660978384527873,0.9910141206675225,0.9783973731205715,0.9975904264162389,7549,298,77,8492
